Iter 1051 | Total: 21.5369 | Shared: 4.1809 | rgb: 4.0379 | pose: 5.0015 | depth: 4.8453 | ir: 3.4712
Iter 1061 | Total: 19.4238 | Shared: 4.1155 | rgb: 2.7591 | pose: 4.6475 | depth: 4.8765 | ir: 3.0251
Iter 1071 | Total: 17.9535 | Shared: 3.4751 | rgb: 2.4479 | pose: 4.5848 | depth: 4.6848 | ir: 2.7609
Iter 1081 | Total: 18.2070 | Shared: 4.0529 | rgb: 2.7116 | pose: 4.2856 | depth: 4.6499 | ir: 2.5069
Iter 1091 | Total: 17.2115 | Shared: 3.1001 | rgb: 2.5920 | pose: 3.7736 | depth: 4.7394 | ir: 3.0064
Iter 1101 | Total: 20.9785 | Shared: 3.8836 | rgb: 4.0044 | pose: 4.3857 | depth: 4.9609 | ir: 3.7440
Iter 1111 | Total: 18.1019 | Shared: 3.5128 | rgb: 2.3973 | pose: 4.6573 | depth: 4.4254 | ir: 3.1090
Iter 1121 | Total: 17.3627 | Shared: 3.3212 | rgb: 2.5998 | pose: 4.5056 | depth: 4.7110 | ir: 2.2252
Iter 1131 | Total: 17.7598 | Shared: 3.8246 | rgb: 2.1850 | pose: 4.6663 | depth: 4.6190 | ir: 2.4648
Iter 1141 | Total: 17.0152 | Shared: 3.6264 | rgb: 2.5184 | pose: 4.5903 | depth: 4.6034 | ir: 1.6766
Iter 1151 | Total: 22.3049 | Shared: 4.2090 | rgb: 4.0938 | pose: 5.3073 | depth: 4.9506 | ir: 3.7441
Iter 1161 | Total: 14.3591 | Shared: 2.8001 | rgb: 1.8016 | pose: 3.5268 | depth: 4.3143 | ir: 1.9163
Iter 1171 | Total: 18.5208 | Shared: 3.6449 | rgb: 3.4659 | pose: 3.8936 | depth: 4.6623 | ir: 2.8541
Iter 1181 | Total: 15.9875 | Shared: 3.4846 | rgb: 1.8534 | pose: 4.4777 | depth: 4.7140 | ir: 1.4578
Iter 1191 | Total: 19.5011 | Shared: 3.5299 | rgb: 3.6665 | pose: 4.4720 | depth: 4.6024 | ir: 3.2302
Iter 1201 | Total: 15.5192 | Shared: 2.2074 | rgb: 2.6686 | pose: 4.1082 | depth: 4.0457 | ir: 2.4894
Iter 1211 | Total: 17.7407 | Shared: 3.7625 | rgb: 2.7869 | pose: 3.8298 | depth: 4.6327 | ir: 2.7288
Iter 1221 | Total: 19.5169 | Shared: 3.7550 | rgb: 3.7770 | pose: 4.1764 | depth: 4.7428 | ir: 3.0656
Iter 1231 | Total: 19.7011 | Shared: 3.8056 | rgb: 3.1112 | pose: 4.6849 | depth: 4.9114 | ir: 3.1880
Iter 1241 | Total: 22.0918 | Shared: 4.5491 | rgb: 3.8064 | pose: 5.2272 | depth: 5.1193 | ir: 3.3898
